AÑO;PERIODO;FECHA ENVIO;CODIGO ENTIDAD;ENTIDAD;CODIGO LINEA;LINEA INTERVENCION;CODIGO SERVICIO;NOMBRE SERVICIO;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;CODIGO CENTRO ATENCION;NOMBRE CENTRO ATENCION;N° DE CEM;N° DE PERSONAS INFORMADAS Y SENSIBILIZADAS - TOTAL;N° DE PERSONAS INFORMADAS Y SENSIBILIZADAS - HOMBRES;N° DE PERSONAS INFORMADAS Y SENSIBILIZADAS - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 0_5 - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 0_5 - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 0_5 - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 6_11 - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 6_11 - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 6_11 - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 12_17 - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 12_17 - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 12_17 - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 18_29 - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 18_29 - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 18_29 - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 30_59 - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 30_59 - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 30_59 - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 60_MÁS - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 60_MÁS - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 60_MÁS - MUJERES;N° DE ACCIONES PREVENTIVAS  PROMOCIONALES - TOTAL;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;030101;APURÍMAC;ABANCAY;ABANCAY;CEM001;ABANCAY;1;5,321;;;1;1;0;80;42;38;;;;108;52;56;1220;239;981;;;;71;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;090201;HUANCAVELICA;ACOBAMBA;ACOBAMBA;CEM002;ACOBAMBA;1;2,499;;;0;0;0;0;0;0;;;;343;50;293;1894;527;1367;;;;122;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;100201;HUÁNUCO;AMBO;AMBO;CEM003;AMBO;1;5,592;;;0;0;0;172;77;95;;;;794;124;670;1478;246;1232;;;;120;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;030201;APURÍMAC;ANDAHUAYLAS;ANDAHUAYLAS;CEM004;ANDAHUAYLAS;1;7,112;;;0;0;0;0;0;0;;;;418;206;212;1332;446;886;;;;83;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;030301;APURÍMAC;ANTABAMBA;ANTABAMBA;CEM005;ANTABAMBA;1;3,555;;;0;0;0;24;11;13;;;;503;127;376;993;267;726;;;;119;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;200201;PIURA;AYABACA;AYABACA;CEM006;AYABACA;1;4,800;;;0;0;0;193;10;183;;;;225;22;203;807;156;651;;;;104;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;050101;AYACUCHO;HUAMANGA;AYACUCHO;CEM007;HUAMANGA;1;5,868;;;0;0;0;0;0;0;;;;1014;196;818;1768;410;1358;;;;145;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;010201;AMAZONAS;BAGUA;BAGUA;CEM008;BAGUA;1;4,245;;;0;0;0;165;69;96;;;;627;159;468;1608;263;1345;;;;167;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;060101;CAJAMARCA;CAJAMARCA;CAJAMARCA;CEM009;CAJAMARCA;1;6,416;;;0;0;0;10;0;10;;;;661;224;437;1048;176;872;;;;143;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;070101;CALLAO;CALLAO;CALLAO;CEM010;CALLAO;1;16,340;;;5;2;3;941;456;485;;;;1066;361;705;3497;948;2549;;;;258;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;040201;AREQUIPA;CAMANÁ;CAMANÁ;CEM011;CAMANA;1;7,033;;;0;0;0;113;60;53;;;;526;137;389;1159;302;857;;;;237;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;050201;AYACUCHO;CANGALLO;CANGALLO;CEM012;CANGALLO;1;4,123;;;0;0;0;0;0;0;;;;0;0;0;1825;143;1682;;;;145;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;150507;LIMA PROVINCIAS;CAÑETE;IMPERIAL;CEM013;CAÑETE;1;15,077;;;6;2;4;86;46;40;;;;962;453;509;2738;1100;1638;;;;543;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;150106;LIMA METROPOLITANA;LIMA;CARABAYLLO;CEM014;CARABAYLLO;1;6,231;;;0;0;0;155;71;84;;;;356;59;297;1111;97;1014;;;;118;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;040101;AREQUIPA;AREQUIPA;AREQUIPA;CEM015;AREQUIPA;1;1,937;;;0;0;0;143;78;65;;;;1521;632;889;9326;3897;5429;;;;70;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;CEM016;CHACHAPOYAS;1;3,494;;;0;0;0;95;0;95;;;;657;253;404;800;244;556;;;;121;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;120301;JUNÍN;CHANCHAMAYO;CHANCHAMAYO;CEM017;CHANCHAMAYO;1;6,356;;;0;0;0;0;0;0;;;;751;142;609;1170;224;946;;;;231;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;CEM018;CHICLAYO;1;9,451;;;0;0;0;16;9;7;;;;1100;289;811;3568;1032;2536;;;;149;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;120107;JUNÍN;HUANCAYO;CHILCA;CEM019;CHILCA;1;5,477;;;0;0;0;248;132;116;;;;102;55;47;1552;426;1126;;;;116;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;021801;ÁNCASH;SANTA;CHIMBOTE;CEM020;CHIMBOTE;1;3,947;;;0;0;0;0;0;0;;;;1751;323;1428;1851;391;1460;;;;148;;
