AÑO DEL REPORTE DE INFORMACION;PERIODO DE LA INFORMACION REMITIDA;FECHA DE REPORTE DE LA INFORMACIÓN;CODIGO DE LA ENTIDAD (ENT001);PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;CODIGO DE LA LINEA DE INTERVENCION (LIN001);NOMBRE DE LA LINEA DE INTERVENCIÓN (ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA);CODIGO DEL SERVICIO;NOMBRE DEL SERVICIO (SERVICIO DE ATENCIÓN URGENTE);UBIGEO DE LA UBICACIÓN GEOGRÁFICA DEL LUGAR DE RESIDENCIA DE LA USUARIA  - SEGÚN EL INEI;DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO POBLADO;ÁREA DE RESIDENCIA;CODIGO DEL CENTRO ATENCION;NOMBRE DEL CENTRO DE ATENCIÓN;N° CASOS ATENDIDOS -TOTAL;N° CASOS ATENDIDOS - HOMBRES - TOTAL;N° CASOS ATENDIDOS - MUJERES - TOTAL;N° CASOS ATENDIDOS - 0_5 - TOTAL;N° CASOS ATENDIDOS - 0_5 - HOMBRES;N° CASOS ATENDIDOS - 0_5 - MUJERES;N° CASOS ATENDIDOS - 6_11 - TOTAL;N° CASOS ATENDIDOS - 6_11 - HOMBRES;N° CASOS ATENDIDOS - 6_11 - MUJERES;N° CASOS ATENDIDOS - 12_14 - TOTAL;N° CASOS ATENDIDOS - 12_14 - HOMBRES;N° CASOS ATENDIDOS - 12_14 - MUJERES;N° CASOS ATENDIDOS - 15_17 - TOTAL;N° CASOS ATENDIDOS - 15_17 - HOMBRES;N° CASOS ATENDIDOS - 15_17 - MUJERES;N° CASOS ATENDIDOS - 18_29 - TOTAL;N° CASOS ATENDIDOS - 18_29 - HOMBRES;N° CASOS ATENDIDOS - 18_29 - MUJERES;N° CASOS ATENDIDOS - 30_59 - TOTAL;N° CASOS ATENDIDOS - 30_59 - HOMBRES;N° CASOS ATENDIDOS - 30_59 - MUJERES;N° CASOS ATENDIDOS - 60_MÁS- TOTAL;N° CASOS ATENDIDOS - 60_MÁS - HOMBRES;N° CASOS ATENDIDOS - 60_MÁS - MUJERES;;;;;;;;;;;;;;;;;;;;;;
2016;ENE - DIC;31/12/2016;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;150101;LIMA METROPOLITANA;LIMA;LIMA;LIMA;URBANO;SAU01;LIMA;4 414;1 564;2 850;1 055;525;530;1 439;641;798;639;234;405;411;96;315;364;18;346;338;19;319;168;31;137;;;;;;;;;;;;;;;;;;;;;;
2017;ENE - DIC;31/12/2017;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;150101;LIMA METROPOLITANA;LIMA;LIMA;LIMA;URBANO;SAU001;LIMA;4 030;1 366;2 664;860;431;429;1 285;642;643;615;189;426;351;52;299;406;9;397;406;5;401;107;38;69;;;;;;;;;;;;;;;;;;;;;;
2017;ENE - DIC;31/12/2017;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;040101;AREQUIPA;AREQUIPA;AREQUIPA;LIMA;URBANO;SAU002;AREQUIPA;10;2;8;1;1;0;1;0;1;1;1;0;1;0;1;6;0;6;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2017;ENE - DIC;31/12/2017;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;170101;MADRE DE DIOS;LIMA;LIMA;LIMA;URBANO;SAU003;MADRE DE DIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2018;ENE - DIC;31/12/2018;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;040101;AREQUIPA;AREQUIPA;AREQUIPA;AREQUIPA;URBANO;SAU002;AREQUIPA;491;146;345;106;63;43;110;55;55;83;21;62;49;4;45;58;0;58;67;0;67;18;3;15;;;;;;;;;;;;;;;;;;;;;;
2018;ENE - DIC;31/12/2018;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;150101;LIMA METROPOLITANA;LIMA;LIMA;LIMA;URBANO;SAU001;LIMA;4 653;1 535;3 118;1 072;510;562;1 443;648;795;745;213;532;447;89;358;395;22;373;370;12;358;181;41;140;;;;;;;;;;;;;;;;;;;;;;
2018;ENE - DIC;31/12/2018;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;170101;MADRE DE DIOS;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;URBANO;SAU003;MADRE DE DIOS;202;41;161;17;8;9;54;25;29;18;3;15;14;2;12;57;0;57;38;1;37;4;2;2;;;;;;;;;;;;;;;;;;;;;;
2019;ENE - DIC;14/1/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;150121;LIMA;LIMA;PUEBLO LIBRE;PUEBLO LIBRE;URBANO;SAU001;LIMA;4 594;1 743;2 851;1 079;568;511;1 387;743;644;761;267;494;464;119;345;423;9;414;357;5;352;123;32;91;;;;;;;;;;;;;;;;;;;;;;
2019;ENE - DIC;14/1/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;040101;AREQUIPA;AREQUIPA;AREQUIPA;AREQUIPA;URBANO;SAU002;AREQUIPA;714;231;483;139;63;76;228;115;113;116;28;88;72;16;56;81;1;80;63;0;63;15;8;7;;;;;;;;;;;;;;;;;;;;;;
2019;ENE - DIC;14/1/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;170101;MADRE DE DIOS;MADRE DE DIOS;TAMBOPATA;PUERTO MALDONADO;URBANO;SAU003;MADRE DE DIOS;175;50;125;17;9;8;41;22;19;27;10;17;17;6;11;30;2;28;38;0;38;5;1;4;;;;;;;;;;;;;;;;;;;;;;
