AÑO DEL REPORTE DE INFORMACION;PERIODO DE LA INFORMACION REMITIDA;FECHA DE REPORTE DE LA INFORMACIÓN;CODIGO DE LA ENTIDAD;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;CODIGO DE LA LINEA DE INTERVENCION ;NOMBRE DE LA LINEA DE INTERVENCIÓN ;CODIGO DEL SERVICIO;NOMBRE DEL SERVICIO;UBIGEO DE LA UBICACIÓN GEOGRÁFICA;DEPARTAMENTO DEL CAI;PROVINCIA DEL CAI;DISTRITO DEL CAI;CODIGO DEL CAI;NOMBRE DEL CAI;NUM_CA;NUM_CASOS;NUM_CASOS_HOMBRES;NUM_CASOS_18_25_HOMBRES;NUM_CASOS_18_29_HOMBRES;NUM_CASOS_26_35_HOMBRES;NUM_CASOS_36_45_HOMBRES;NUM_CASOS_46_59_HOMBRES;NUM_CASOS_30_59_HOMBRES;NUM_CASOS_60_A MAS_HOMBRES;NUM_ACTIVIDADES PERSONALIZADAS;
2012;ENE - DIC;5/01/2013;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;150143;LIMA METROPOLITANA;LIMA;VILLA MARIA DEL TRIUNFO;CAI001;C.A.I. VILLA MARIA DEL TRIUNFO;1;66;66;1;;12;24;17;;12;1,035;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;150105;LIMA METROPOLITANA;LIMA;BREÑA;CAI001;C.A.I. BREÑA;1;111;111;2;;20;42;34;;13;3,071;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;070103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;CAI002;C.A.I. CARMEN DE LA LEGUA REYNOSO;1;16;16;0;;3;8;4;;1;236;
2014;ENE - DIC;10/01/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;150105;LIMA METROPOLITANA;LIMA;BREÑA;CAI001;C.A.I. BREÑA;1;166;166;2;;34;52;57;;21;8,007;
2014;ENE - DIC;10/01/2015;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;070103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;CAI002;C.A.I. CARMEN DE LA LEGUA REYNOSO;1;82;82;2;;22;32;20;;6;2,391;
2015;ENE - DIC;11/01/2016;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;150105;LIMA METROPOLITANA;LIMA;BREÑA;CAI001;C.A.I. BREÑA;1;423;423;;32;88;146;126;;31;10,182;
2015;ENE - DIC;11/01/2016;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;070103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;CAI002;C.A.I. CARMEN DE LA LEGUA REYNOSO;1;137;137;;7;33;46;31;;20;5,212;
2015;ENE - DIC;11/01/2016;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;050101;AYACUCHO;HUAMANGA;AYACUCHO;CAI003;C.A.I. HUAMANGA;1;48;48;;10;13;10;14;;1;1,865;
2016;ENE - DIC;13/12/2016;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;150105;LIMA METROPOLITANA;LIMA;BREÑA;CAI001;C.A.I. BREÑA;1;737;737;;106;;;;583;48;14,799;
2016;ENE - DIC;13/12/2016;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;070103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;CAI002;C.A.I. CARMEN DE LA LEGUA REYNOSO;1;265;265;;24;;;;214;27;6,330;
2017;ENE - DIC;16/01/2018;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;150105;LIMA METROPOLITANA;LIMA;BREÑA;CAI001;C.A.I. BREÑA;1;736;736;;122;;;;564;50;18,394;
2017;ENE - DIC;16/01/2018;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;070103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;CAI002;C.A.I. CARMEN DE LA LEGUA REYNOSO;1;469;469;;59;;;;364;46;8,959;
2017;ENE - DIC;16/01/2018;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;050101;AYACUCHO;HUAMANGA;AYACUCHO;CAI003;C.A.I. HUAMANGA;1;484;484;;130;;;;335;19;16,827;
2018;ENE - DIC;31/12/2018;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;150105;LIMA METROPOLITANA;LIMA;BREÑA;CAI001;C.A.I. BREÑA;1;975;975;;186;;;;720;69;17,272;
2018;ENE - DIC;31/12/2018;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;070103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;CAI002;C.A.I. CARMEN DE LA LEGUA REYNOSO;1;470;470;;83;;;;349;38;8,540;
2018;ENE - DIC;31/12/2018;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN003;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCIÓN INSTITUCIONAL;050101;AYACUCHO;HUAMANGA;AYACUCHO;CAI003;C.A.I. HUAMANGA;1;490;490;;140;;;;330;20;12,555;
2019;ENE - DIC;14/01/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;150105;LIMA METROPOLITANA;LIMA;BREÑA;CAI001;BREÑA;1;1,281;1,281;;215;;;;968;98;18,607;
2019;ENE - DIC;14/01/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;070103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;CAI002;CARMEN DE LA LEGUA REYNOSO;1;785;785;;136;;;;580;69;14,698;
2019;ENE - DIC;14/01/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;050101;AYACUCHO;HUAMANGA;AYACUCHO;CAI003;HUAMANGA;1;597;597;;143;;;;435;19;14,961;
2019;ENE - DIC;14/01/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;080107;CUSCO;CUSCO;SAYLLA;CAI004;SAYLLA;1;35;35;;10;;;;25;0;406;
2020;ENE - DIC;15/01/2021;ENT001;PROGRAMA NACIONAL PARA LA PREVENCIÓN Y ERRADICACIÓN DE LA VIOLENCIA CONTRA LAS MUJERES E INTEGRANTES DEL GRUPO FAMILIAR – AURORA;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;150105;LIMA METROPOLITANA;LIMA;BREÑA;CAI001;BREÑA;1;775;775;;152;;;;593;30;16,950;
2020;ENE - DIC;15/01/2021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;070103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;CAI002;CARMEN DE LA LEGUA REYNOSO;1;371;371;;62;;;;286;23;8,024;
2020;ENE - DIC;15/01/2021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;050101;AYACUCHO;HUAMANGA;AYACUCHO;CAI003;HUAMANGA;1;386;386;;112;;;;265;9;10,863;
2020;ENE - DIC;15/01/2021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;080107;CUSCO;CUSCO;SAYLLA;CAI004;SAYLLA;1;194;194;;39;;;;149;6;3,876;
2021;ENE - JUN;14/07/2021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;150105;LIMA METROPOLITANA;LIMA;BREÑA;CAI001;BREÑA;1;355;355;;63;;;;280;12;16,812;
2021;ENE - JUN;14/07/2021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;070103;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;CAI002;CARMEN DE LA LEGUA REYNOSO;1;306;306;;55;;;;236;15;5,888;
2021;ENE - JUN;14/07/2021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;050101;AYACUCHO;HUAMANGA;AYACUCHO;CAI003;HUAMANGA;1;247;247;;70;;;;168;9;10,331;
2021;ENE - JUN;14/07/2021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA;SER002;CENTRO DE ATENCION INSTITUCIONAL;080107;CUSCO;CUSCO;SAYLLA;CAI004;SAYLLA;1;166;166;;27;;;;133;6;4,869;
